,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YDS,PASS_TDS,INTS
156,Jalen Reagor,PHI,WR,4.7,25.7,0.2,7.4,82.6,0.6,0.2,0.0,0.0,0,0.0,0.0
157,Albert Wilson,MIN,WR,4.4,27.7,0.2,7.6,78.4,0.6,0.0,0.0,0.0,0,0.0,0.0
158,Kalif Raymond,DET,WR,0.7,4.2,0.0,7.7,101.9,0.7,0.1,0.0,0.0,0,0.0,0.0
159,Lynn Bowden Jr.,MIA,WR,4.5,28.5,0.2,7.3,73.3,0.5,0.0,0.0,0.0,0,0.0,0.0
160,Ray-Ray McCloud,SF,WR,0.0,0.0,0.0,10.1,94.8,0.8,0.0,0.0,0.0,0,0.0,0.0
161,Chris Moore,HOU,WR,0.0,0.0,0.0,9.9,108.7,0.5,0.0,0.0,0.0,0,0.0,0.0
162,Marcus Johnson,SF,WR,0.0,0.0,0.0,7.5,92.2,0.7,0.0,0.0,0.0,0,0.0,0.0
163,Khalil Shakir,BUF,WR,1.0,6.0,0.1,6.4,81.3,0.7,0.0,0.0,0.0,0,0.0,0.0
164,Richie James Jr.,NYG,WR,0.0,0.0,0.0,8.0,100.1,0.5,0.1,0.0,0.0,0,0.0,0.0
165,Deonte Harris,NO,WR,1.3,11.0,0.0,6.4,78.9,0.6,0.0,0.0,0.0,0,0.0,0.0
166,Samori Toure,GB,WR,0.0,0.0,0.0,6.8,80.6,0.7,0.0,0.0,0.0,0,0.0,0.0
167,Tre'Quan Smith,NO,WR,0.0,0.0,0.0,6.6,82.9,0.6,0.1,0.0,0.0,0,0.0,0.0
168,Penny Hart,SEA,WR,0.0,0.0,0.0,7.9,84.5,0.5,0.0,0.0,0.0,0,0.0,0.0
169,Scotty Miller,TB,WR,0.2,1.5,0.0,6.2,78.6,0.5,0.1,0.0,0.0,0,0.0,0.0
170,Anthony Miller,PIT,WR,0.0,0.0,0.0,7.4,79.3,0.5,0.0,0.0,0.0,0,0.0,0.0
171,DeAndre Carter,LAC,WR,0.0,0.0,0.0,6.6,77.1,0.6,0.1,0.0,0.0,0,0.0,0.0
172,Kristian Wilkerson,NE,WR,0.0,0.0,0.0,6.7,78.4,0.5,0.0,0.0,0.0,0,0.0,0.0
173,Christian Blake,ARI,WR,0.0,0.0,0.0,7.0,79.9,0.5,0.0,0.0,0.0,0,0.0,0.0
