"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jason Cabinda","DET","3.3","13.6","0.1","4.1","30.2","0.2","0.0","6.2"
"Trayveon Williams","CIN","4.4","17.9","0.1","4.2","29.2","0.2","0.0","6.1"
"Mataeo Durant","PIT","7.4","30.8","0.2","2.1","14.3","0.1","0.0","6.1"
"Ryquell Armstead","JAC","4.9","19.9","0.2","2.8","22.2","0.1","0.0","5.9"
"Jason Huntley","PHI","6.6","28.3","0.2","1.7","11.9","0.1","0.1","5.7"
"Derek Watt","PIT","2.2","8.7","0.1","4.4","32.9","0.2","0.0","5.7"
"Khari Blasingame","CHI","2.4","9.8","0.1","3.8","29.4","0.2","0.0","5.6"
"Adam Prentice","NO","4.4","18.7","0.1","2.0","14.7","0.1","0.0","5.0"
"Reggie Gilliam","BUF","0.0","0.0","0.0","4.4","32.6","0.2","0.0","4.6"
"Nick Bawden","NYJ","0.0","0.0","0.0","4.3","31.5","0.2","0.0","4.4"
"Gabe Nabers","LAC","4.4","18.9","0.2","0.0","0.0","0.0","0.0","2.9"
"Devine Ozigbo","NO","0.6","2.4","0.0","0.2","1.8","0.0","0.0","0.6"
"Damarea Crockett","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Williams","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nathan Cottrell","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Lovett","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Spencer Brown","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gerrid Doaks","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nate McCrary","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Taiwan Jones","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Kelly","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kenjon Barner","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Bonnafon","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Darius Bradwell","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
